Direccion;Numero;Activo;Bicis_disponibles;Espacios_libres;Espacios_totales;ticket;fecha_actualizacion;geo_shape;geo_point_2d;update_jcd
Plaza del Mercado - Taula de Canvis;7;T;7;11;19;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3791853952972924, 39.47487233593648], ""type"": ""Point""}";39.47487233593648, -0.3791853952972924;2024-11-13T19:39:12+01:00
Plaza de Tetuán;9;T;0;24;25;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3699303648826442, 39.47435533016869], ""type"": ""Point""}";39.47435533016869, -0.3699303648826442;2024-11-13T19:30:29+01:00
Calle Salvá - Calle Poeta Querol;12;T;7;13;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3740102862977963, 39.47196722343732], ""type"": ""Point""}";39.47196722343732, -0.3740102862977963;2024-11-13T19:34:11+01:00
Huesca - Barón de Cárcer;14;T;4;16;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.37972440222295445, 39.46896731649349], ""type"": ""Point""}";39.46896731649349, -0.37972440222295445;2024-11-13T17:35:22+01:00
Xátiva - Bailén (Estación del Norte);17;T;7;23;30;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3772593951806123, 39.46746831099193], ""type"": ""Point""}";39.46746831099193, -0.3772593951806123;2024-11-13T19:37:37+01:00
Juan Llorens - Quart;19;T;3;12;15;F;13/11/2024 18:39:33;"{""coordinates"": [-0.391590438798602, 39.47436934054566], ""type"": ""Point""}";39.47436934054566, -0.391590438798602;2024-11-13T19:31:04+01:00
Juan Llorens - Literato Gabriel Miró;21;T;2;14;16;F;13/11/2024 18:39:33;"{""coordinates"": [-0.39021443540491124, 39.4723713328859], ""type"": ""Point""}";39.4723713328859, -0.39021443540491124;2024-11-13T19:32:50+01:00
Fernando el Católico - Erudito Orellana;23;T;3;16;19;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3861784216967592, 39.471628328748515], ""type"": ""Point""}";39.471628328748515, -0.3861784216967592;2024-11-13T19:34:54+01:00
Plaza América - Cirilo Amorós - Sorní;29;T;0;19;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3652993525279599, 39.47011231364647], ""type"": ""Point""}";39.47011231364647, -0.3652993525279599;2024-11-13T19:31:17+01:00
Peris y Valero - Luis Santángel;37;T;13;5;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3664406250017559, 39.460937800028375], ""type"": ""Point""}";39.460937800028375, -0.3664406250017559;2024-11-13T19:39:20+01:00
Peris y Valero - Cabo Jubi;38;T;14;0;15;F;13/11/2024 18:39:33;"{""coordinates"": [-0.37024937736936264, 39.45940204927687], ""type"": ""Point""}";39.45940204927687, -0.37024937736936264;2024-11-13T19:30:04+01:00
Barcas, 11;40;T;11;15;26;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3748243837183276, 39.470466319701956], ""type"": ""Point""}";39.470466319701956, -0.3748243837183276;2024-11-13T19:32:09+01:00
Escultor José Capuz - Oriente;43;T;7;12;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.36115334583643566, 39.459477276259406], ""type"": ""Point""}";39.459477276259406, -0.36115334583643566;2024-11-13T19:34:51+01:00
General Urrutia - Av. de la Plata;44;T;18;1;19;F;13/11/2024 18:39:33;"{""coordinates"": [-0.36301435452576164, 39.45642926768604], ""type"": ""Point""}";39.45642926768604, -0.36301435452576164;2024-11-13T19:30:53+01:00
Autopista del Saler - Puente Monteolivete;47;T;20;0;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.35541832880362817, 39.45651226440267], ""type"": ""Point""}";39.45651226440267, -0.35541832880362817;2024-11-13T19:39:08+01:00
Moreras (Oceanográfico);51;T;13;7;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3472273049060467, 39.45218324552497], ""type"": ""Point""}";39.45218324552497, -0.3472273049060467;2024-11-13T19:36:52+01:00
Alameda - Pintor Monleón;57;T;19;0;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3582563324315247, 39.46447629179199], ""type"": ""Point""}";39.46447629179199, -0.3582563324315247;2024-11-13T19:39:16+01:00
Baleares - Lebón;60;T;18;1;19;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3517763125261459, 39.46223128102797], ""type"": ""Point""}";39.46223128102797, -0.3517763125261459;2024-11-13T19:34:47+01:00
Vicent Vidal - Pintor Maella;61;T;19;1;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.34783029886743094, 39.46129327599964], ""type"": ""Point""}";39.46129327599964, -0.34783029886743094;2024-11-13T19:33:40+01:00
Menorca - Baleares;62;T;19;0;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3421522812931475, 39.45981126842254], ""type"": ""Point""}";39.45981126842254, -0.3421522812931475;2024-11-13T19:36:24+01:00
Guillem de Anglesola - Av. Puerto;66;T;23;0;25;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3462612916525901, 39.46427128532339], ""type"": ""Point""}";39.46427128532339, -0.3462612916525901;2024-11-13T19:38:37+01:00
Juan Verdeguer - Toneleros;67;T;12;2;14;F;13/11/2024 18:39:33;"{""coordinates"": [-0.33679826304022287, 39.45886026320377], ""type"": ""Point""}";39.45886026320377, -0.33679826304022287;2024-11-13T19:37:49+01:00
Plaza San Felipe Neri (Mercado Algirós);74;T;14;6;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3537343124957471, 39.469949307546806], ""type"": ""Point""}";39.469949307546806, -0.3537343124957471;2024-11-13T19:36:24+01:00
República Argentina - Campoamor;75;T;5;17;25;F;13/11/2024 18:39:33;"{""coordinates"": [-0.35170130420295115, 39.472113313853896], ""type"": ""Point""}";39.472113313853896, -0.35170130420295115;2024-11-13T19:38:40+01:00
Campoamor - Músico Ginés;76;T;8;6;19;F;13/11/2024 18:39:33;"{""coordinates"": [-0.343461277578989, 39.47008330347364], ""type"": ""Point""}";39.47008330347364, -0.343461277578989;2024-11-13T19:30:32+01:00
Aragón - Ernesto Ferrer;79;T;14;5;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.357242322435451, 39.4727793187067], ""type"": ""Point""}";39.4727793187067, -0.357242322435451;2024-11-13T19:31:00+01:00
Amadeo de Saboya (frente Ayuntamiento);80;T;7;17;25;F;13/11/2024 18:39:33;"{""coordinates"": [-0.36229833944736023, 39.47374232444908], ""type"": ""Point""}";39.47374232444908, -0.36229833944736023;2024-11-13T19:38:23+01:00
Blasco Ibañez - Jaime Roig;85;T;7;16;23;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3647153422684407, 39.479464345022826], ""type"": ""Point""}";39.479464345022826, -0.3647153422684407;2024-11-13T19:29:50+01:00
Gaspar Aguilar - Vicente Parra;86;T;4;15;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.39119345191575566, 39.4552402764855], ""type"": ""Point""}";39.4552402764855, -0.39119345191575566;2024-11-13T19:38:49+01:00
Blasco Ibañez, 23 (F. Filosofía y Psicología);89;T;6;23;30;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3593183259089267, 39.47780233689744], ""type"": ""Point""}";39.47780233689744, -0.3593183259089267;2024-11-13T19:39:26+01:00
Grabador Jordan - Escultor Pastor;91;T;11;4;15;F;13/11/2024 18:39:33;"{""coordinates"": [-0.36757337969703135, 39.44412522887422], ""type"": ""Point""}";39.44412522887422, -0.36757337969703135;2024-11-13T19:37:00+01:00
Blasco Ibañez - Aragón;92;T;9;10;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.35596831583559707, 39.47586032883543], ""type"": ""Point""}";39.47586032883543, -0.35596831583559707;2024-11-13T19:34:19+01:00
Blasco Ibañez - Poeta Durán Tortajada;93;T;37;0;38;F;13/11/2024 18:39:33;"{""coordinates"": [-0.34380927742382206, 39.472282310670764], ""type"": ""Point""}";39.472282310670764, -0.34380927742382206;2024-11-13T19:35:33+01:00
Blasco Ibañez - Clariano;94;T;10;9;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.35158330144926053, 39.47537832465668], ""type"": ""Point""}";39.47537832465668, -0.35158330144926053;2024-11-13T19:36:17+01:00
Blasco Ibañez 121;97;T;5;16;23;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3431322739648798, 39.47306831276613], ""type"": ""Point""}";39.47306831276613, -0.3431322739648798;2024-11-13T19:38:23+01:00
Justo y Pastor - Duque de Gaeta;98;T;1;14;15;F;13/11/2024 18:39:33;"{""coordinates"": [-0.348442294427372, 39.469680303996114], ""type"": ""Point""}";39.469680303996114, -0.348442294427372;2024-11-13T19:33:42+01:00
Rubén Darío - Plaza Fray Luis Colomer;103;T;4;11;15;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3523713017453889, 39.47845333567255], ""type"": ""Point""}";39.47845333567255, -0.3523713017453889;2024-11-13T19:30:00+01:00
Campillo de Altobuey (Polideportivo);107;T;4;10;15;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3362242490922528, 39.47524531713643], ""type"": ""Point""}";39.47524531713643, -0.3362242490922528;2024-11-13T19:37:24+01:00
Luís Peixó 20;108;T;11;4;15;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3339152679031098, 39.47382619077011], ""type"": ""Point""}";39.47382619077011, -0.3339152679031098;2024-11-13T19:37:27+01:00
UPV Galileo;111;T;18;12;30;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3395082613341325, 39.48066419504159], ""type"": ""Point""}";39.48066419504159, -0.3395082613341325;2024-11-13T19:32:31+01:00
UPV Informática;114;T;21;9;30;F;13/11/2024 18:39:33;"{""coordinates"": [-0.346591279156021, 39.4818043438759], ""type"": ""Point""}";39.4818043438759, -0.346591279156021;2024-11-13T19:35:21+01:00
Doctor Vicente Zaragozá - Ramón Asensio;116;T;12;3;15;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3575613154471814, 39.48325335356676], ""type"": ""Point""}";39.48325335356676, -0.3575613154471814;2024-11-13T19:34:52+01:00
Doctor Vicente Zaragozá - Emilio Baró;120;T;6;12;18;F;13/11/2024 18:39:33;"{""coordinates"": [-0.36204632906281087, 39.484880361257815], ""type"": ""Point""}";39.484880361257815, -0.36204632906281087;2024-11-13T19:37:29+01:00
Albocácer - Vinaroz;123;T;3;17;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.36484133609518726, 39.487671371814656], ""type"": ""Point""}";39.487671371814656, -0.36484133609518726;2024-11-13T19:34:47+01:00
Masquefa, 42 - 44;125;T;6;9;15;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3586183142345537, 39.489693375775445], ""type"": ""Point""}";39.489693375775445, -0.3586183142345537;2024-11-13T19:36:39+01:00
Alfahuir - Peñiscola;128;T;4;21;25;F;13/11/2024 18:39:33;"{""coordinates"": [-0.367544345093534, 39.48876637693274], ""type"": ""Point""}";39.48876637693274, -0.367544345093534;2024-11-13T19:29:58+01:00
Convento Carmelitas - Alboraya;130;T;0;13;15;F;13/11/2024 18:39:33;"{""coordinates"": [-0.370210358642677, 39.483238360081586], ""type"": ""Point""}";39.483238360081586, -0.370210358642677;2024-11-13T19:31:48+01:00
Constitución - Reus;135;T;5;15;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.37850138478156414, 39.48570237196362], ""type"": ""Point""}";39.48570237196362, -0.37850138478156414;2024-11-13T19:37:23+01:00
Economista Gay - Constitución;136;T;7;13;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.37561037166808026, 39.48994138447594], ""type"": ""Point""}";39.48994138447594, -0.37561037166808026;2024-11-13T19:37:48+01:00
Pio XII - Menéndez PIdal (Nuevo Centro);143;T;0;30;30;F;13/11/2024 18:39:33;"{""coordinates"": [-0.39093643241708165, 39.4795373575288], ""type"": ""Point""}";39.4795373575288, -0.39093643241708165;2024-11-13T19:38:38+01:00
Pie de la Cruz - Rejas;147;T;1;13;15;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3802074001545322, 39.47320133107913], ""type"": ""Point""}";39.47320133107913, -0.3802074001545322;2024-11-13T19:39:24+01:00
C/Xàtiva 30-32;148;T;0;0;35;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3753782937388751, 39.46714522461298], ""type"": ""Point""}";39.46714522461298, -0.3753782937388751;2024-11-13T19:32:49+01:00
Peris y Valero - Salamanca;149;T;11;9;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.36179534600499663, 39.462934287947085], ""type"": ""Point""}";39.462934287947085, -0.36179534600499663;2024-11-13T19:31:22+01:00
Francisco Cubells - San José de la Vega;159;T;9;8;17;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3347222532485526, 39.463449276866356], ""type"": ""Point""}";39.463449276866356, -0.3347222532485526;2024-11-13T19:31:53+01:00
Pavía - Espadán;165;T;19;0;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3245702116150898, 39.471409299035706], ""type"": ""Point""}";39.471409299035706, -0.3245702116150898;2024-11-13T19:36:44+01:00
Pavía - Acequia de la Cadena;167;T;19;1;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3246102088459378, 39.474908310742784], ""type"": ""Point""}";39.474908310742784, -0.3246102088459378;2024-11-13T19:38:20+01:00
Isabel de Villena - Mendizábal;170;T;20;0;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.32533420529241996, 39.482973337910934], ""type"": ""Point""}";39.482973337910934, -0.32533420529241996;2024-11-13T19:38:34+01:00
Pío XII - Campanar;172;T;5;15;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3933454386575609, 39.48146236504626], ""type"": ""Point""}";39.48146236504626, -0.3933454386575609;2024-11-13T19:33:56+01:00
Cno. Moncada - Pedro Patricio Mey;176;T;4;16;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.378853381402734, 39.49201739310727], ""type"": ""Point""}";39.49201739310727, -0.378853381402734;2024-11-13T19:30:09+01:00
Reig Genovés - Ramón Contreras Mongrell;178;T;4;16;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3705063522665271, 39.49221639017785], ""type"": ""Point""}";39.49221639017785, -0.3705063522665271;2024-11-13T19:29:23+01:00
Hospital Nueva Fe (consultas externas);188;T;20;20;40;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3751583239336074, 39.44462122517277], ""type"": ""Point""}";39.44462122517277, -0.3751583239336074;2024-11-13T19:30:06+01:00
