Luis García Berlanga Martí - Menorca;52;T;23;2;25;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3463402980947426, 39.45603425797373], ""type"": ""Point""}";39.45603425797373, -0.3463402980947426;2024-11-13T19:37:19+01:00
Francia - Menorca;56;T;15;0;15;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3444052893928658, 39.45842126509135], ""type"": ""Point""}";39.45842126509135, -0.3444052893928658;2024-11-13T19:38:07+01:00
Plaza España;58;T;11;8;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3815864106638383, 39.46621830848607], ""type"": ""Point""}";39.46621830848607, -0.3815864106638383;2024-11-13T19:35:24+01:00
Baleares - Río Escalona;59;T;11;3;15;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3545493213542055, 39.463088285667624], ""type"": ""Point""}";39.463088285667624, -0.3545493213542055;2024-11-13T19:31:00+01:00
Av. Puerto - Doctor Manuel Candela;65;T;17;1;19;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3508373061951808, 39.465516292011046], ""type"": ""Point""}";39.465516292011046, -0.3508373061951808;2024-11-13T19:39:24+01:00
Av. Puerto - José Aguilar;68;T;20;0;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3417332778594022, 39.46280327868023], ""type"": ""Point""}";39.46280327868023, -0.3417332778594022;2024-11-13T19:29:47+01:00
Colón, 44;70;T;7;10;17;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3716462894107889, 39.469213221319464], ""type"": ""Point""}";39.469213221319464, -0.3716462894107889;2024-11-13T19:31:55+01:00
Ramiro de Maeztu - Peris Brell;72;T;14;0;15;F;13/11/2024 18:39:33;"{""coordinates"": [-0.34644628196214244, 39.467257201162404], ""type"": ""Point""}";39.467257201162404, -0.34644628196214244;2024-11-13T19:38:53+01:00
Jerónimo Monsoriu - Industria;73;T;15;4;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3428792786496773, 39.4662592905475], ""type"": ""Point""}";39.4662592905475, -0.3428792786496773;2024-11-13T19:35:33+01:00
Aragón - Vicente Sancho Tello;78;T;2;18;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.358688329939162, 39.46994531050937], ""type"": ""Point""}";39.46994531050937, -0.358688329939162;2024-11-13T19:30:05+01:00
Micer Mascó - Rodriguez Fornos;81;T;8;12;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.36097833354659675, 39.47512832851177], ""type"": ""Point""}";39.47512832851177, -0.36097833354659675;2024-11-13T19:32:57+01:00
Serrería, 67;84;T;7;7;15;F;13/11/2024 18:39:33;"{""coordinates"": [-0.33522597686590844, 39.467123092394516], ""type"": ""Point""}";39.467123092394516, -0.33522597686590844;2024-11-13T19:36:21+01:00
Blasco Ibañez - Doctor Gómez Ferrer (Clínico);87;T;2;31;33;F;13/11/2024 18:39:33;"{""coordinates"": [-0.36188033357859983, 39.47851834019109], ""type"": ""Point""}";39.47851834019109, -0.36188033357859983;2024-11-13T19:37:19+01:00
Blasco Ibañez, 28 (F. Geografía e Historia);88;T;3;36;40;F;13/11/2024 18:39:33;"{""coordinates"": [-0.36114233248377353, 39.477512336096844], ""type"": ""Point""}";39.477512336096844, -0.36114233248377353;2024-11-13T19:38:14+01:00
Blasco Ibañez - Yecla;96;T;10;11;21;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3482142912637639, 39.47355431688417], ""type"": ""Point""}";39.47355431688417, -0.3482142912637639;2024-11-13T19:39:18+01:00
Blasco Ibañez 166 - Pintor José Mongrell;99;T;11;6;21;F;13/11/2024 18:39:33;"{""coordinates"": [-0.3404842660990001, 39.47134430635022], ""type"": ""Point""}";39.47134430635022, -0.3404842660990001;2024-11-13T19:37:21+01:00
Blasco Ibañez - Mestre Ripoll;100;T;2;18;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.33815025853445674, 39.471634305646866], ""type"": ""Point""}";39.471634305646866, -0.33815025853445674;2024-11-13T19:31:47+01:00
Ramón Llull - Serpis;102;T;20;0;20;F;13/11/2024 18:39:33;"{""coordinates"": [-0.346720283882565, 39.47583332394092], ""type"": ""Point""}";39.47583332394092, -0.346720283882565;2024-11-13T19:34:46+01:00
Albalat dels Tarongers - Professor Ernest Lluch;106;T;17;7;25;F;13/11/2024 18:39:33;"{""coordinates"": [-0.34138726522688073, 39.47674432466283], ""type"": ""Point""}";39.47674432466283, -0.34138726522688073;2024-11-13T19:37:45+01:00
